func,type,x1,x2,p,w,L
lowheight,2,300,1000,10,20,118.7995955
lowheight,2,300,1000,10,30,118.7995955
lowheight,2,300,1000,25,20,123.0490282
lowheight,2,300,1000,25,30,123.0490282
lowheight,2,300,1000,50,20,127.7704565
lowheight,2,300,1000,50,30,127.7704565
lowheight,2,300,1000,75,20,132.4918847
lowheight,2,300,1000,75,30,132.4918847
lowheight,2,300,1000,90,20,136.7413174
lowheight,2,300,1000,90,30,136.7413174
lowheight,2,300,1000,95,20,139.2844319
lowheight,2,300,1000,95,30,139.2844319
lowheight,2,300,2000,5,20,128.2976809
lowheight,2,300,2000,5,30,128.2976809
lowheight,2,300,2000,10,20,130.8407953
lowheight,2,300,2000,10,30,130.8407953
lowheight,2,300,2000,25,20,135.090228
lowheight,2,300,2000,25,30,135.090228
lowheight,2,300,2000,50,20,139.8116563
lowheight,2,300,2000,50,30,139.8116563
lowheight,2,300,2000,75,20,144.5330845
lowheight,2,300,2000,75,30,144.5330845
lowheight,2,300,2000,90,20,148.7825172
lowheight,2,300,2000,90,30,148.7825172
lowheight,2,300,2000,95,20,151.3256317
lowheight,2,300,2000,95,30,151.3256317
lowheight,2,900,5,5,20,36.14022507
lowheight,2,900,5,5,30,36.14022507
lowheight,2,900,5,10,20,37.65773005
lowheight,2,900,5,10,30,37.65773005
lowheight,2,900,5,25,20,40.93312679
lowheight,2,900,5,25,30,40.93312679
lowheight,2,900,5,50,20,45.51435989
lowheight,2,900,5,50,30,45.51435989
lowheight,2,900,5,75,20,50.8482285
lowheight,2,900,5,75,30,50.8482285
lowheight,2,900,5,90,20,56.10726319
lowheight,2,900,5,90,30,56.10726319
lowheight,2,900,5,95,20,59.40777949
lowheight,2,900,5,95,30,59.40777949
lowheight,2,900,10,5,20,42.16082499
